Master_Joint_Numbers,Target_Joint_Numbers,Match_Type,Confidence,Master_Total_Length,Target_Total_Length,Length_Difference,Master_Start_Distance,Target_Start_Distance,Is_Split,Is_Merge
142,1440,1-to-1,0.94,18.164,18.0,0.164,2061.534,2041.4,False,False
143,1450,1-to-1,0.927,18.188,17.99,0.198,2079.698,2059.4,False,False
144,1460,1-to-1,0.911,18.18,17.94,0.24,2097.886,2077.39,False,False
145,1470,1-to-1,0.936,18.114,17.94,0.174,2116.066,2095.33,False,False
146,1480,1-to-1,0.913,1.236,1.22,0.016,2134.18,2113.27,False,False
147,1490,1-to-1,0.938,18.198,18.03,0.168,2135.416,2114.49,False,False
148,1500,1-to-1,0.922,18.09,17.88,0.21,2153.614,2132.52,False,False
149,1510,1-to-1,0.934,18.048,17.87,0.178,2171.704,2150.4,False,False
150,1520,1-to-1,0.93,18.2,18.01,0.19,2189.752,2168.27,False,False
151,1530,1-to-1,0.935,18.206,18.03,0.176,2207.952,2186.28,False,False
152,1540,1-to-1,0.926,18.11,17.91,0.2,2226.158,2204.31,False,False
153,1550,1-to-1,0.932,18.206,18.02,0.186,2244.268,2222.22,False,False
154,1560,1-to-1,0.932,18.124,17.94,0.184,2262.474,2240.24,False,False
155,1570,1-to-1,0.946,18.156,18.01,0.146,2280.598,2258.18,False,False
156,1580,1-to-1,0.925,18.204,18.0,0.204,2298.754,2276.19,False,False
157,1590,1-to-1,0.948,18.14,18.0,0.14,2316.958,2294.19,False,False
158,1600,1-to-1,0.953,18.088,17.96,0.128,2335.098,2312.19,False,False
159,1610,1-to-1,0.946,18.186,18.04,0.146,2353.186,2330.15,False,False
160,1620,1-to-1,0.943,18.236,18.08,0.156,2371.372,2348.19,False,False
161,1630,1-to-1,0.948,18.16,18.02,0.14,2389.608,2366.27,False,False
162,1640,1-to-1,0.945,18.158,18.01,0.148,2407.768,2384.29,False,False
163,1650,1-to-1,0.94,18.194,18.03,0.164,2425.926,2402.3,False,False
164,1660,1-to-1,0.937,18.172,18.0,0.172,2444.12,2420.33,False,False
165,1670,1-to-1,0.948,18.03,17.89,0.14,2462.292,2438.33,False,False
166,1680,1-to-1,0.96,18.028,17.92,0.108,2480.322,2456.22,False,False
167,1690,1-to-1,0.947,18.194,18.05,0.144,2498.35,2474.14,False,False
168,1700,1-to-1,0.947,18.204,18.06,0.144,2516.544,2492.19,False,False
169,1710,1-to-1,0.953,17.25,17.13,0.12,2534.748,2510.25,False,False
170,1720,1-to-1,0.962,18.174,18.07,0.104,2551.998,2527.38,False,False
171,1730,1-to-1,0.955,18.192,18.07,0.122,2570.172,2545.45,False,False
172,1740,1-to-1,0.95,17.954,17.82,0.134,2588.364,2563.52,False,False
173,1750,1-to-1,0.948,18.1,17.96,0.14,2606.318,2581.34,False,False
174,1760,1-to-1,0.952,18.17,18.04,0.13,2624.418,2599.3,False,False
175,1770,1-to-1,0.951,18.184,18.05,0.134,2642.588,2617.34,False,False
176,1780,1-to-1,0.95,18.014,17.88,0.134,2660.772,2635.39,False,False
177,1790,1-to-1,0.958,18.204,18.09,0.114,2678.786,2653.27,False,False
178,1800,1-to-1,0.951,18.224,18.09,0.134,2696.99,2671.36,False,False
179,1810,1-to-1,0.949,17.958,17.82,0.138,2715.214,2689.45,False,False
180,1820,1-to-1,0.975,15.228,15.17,0.058,2733.172,2707.27,False,False
181,1830,1-to-1,0.956,18.2,18.08,0.12,2748.4,2722.44,False,False
182,1840,1-to-1,0.958,18.004,17.89,0.114,2766.6,2740.52,False,False
183,1850,1-to-1,0.945,14.488,14.37,0.118,2784.604,2758.41,False,False
184,1860,1-to-1,0.965,18.204,18.11,0.094,2799.092,2772.78,False,False
185,1870,1-to-1,0.963,18.202,18.1,0.102,2817.296,2790.89,False,False
186,1880,1-to-1,0.962,18.204,18.1,0.104,2835.498,2808.99,False,False
187,1890,1-to-1,0.958,18.012,17.9,0.112,2853.702,2827.09,False,False
188,1900,1-to-1,0.985,15.274,15.24,0.034,2871.714,2844.99,False,False
189,1910,1-to-1,0.986,18.218,18.18,0.038,2886.988,2860.23,False,False
190,1920,1-to-1,0.963,18.222,18.12,0.102,2905.206,2878.41,False,False
191,1930,1-to-1,0.976,18.106,18.04,0.066,2923.428,2896.53,False,False
192,1940,1-to-1,0.974,17.96,17.89,0.07,2941.534,2914.57,False,False
193,1950,1-to-1,0.962,18.184,18.08,0.104,2959.494,2932.46,False,False
194,1960,1-to-1,0.946,18.216,18.07,0.146,2977.678,2950.54,False,False
195,1970,1-to-1,0.974,14.064,14.01,0.054,2995.894,2968.61,False,False
196,1980,1-to-1,0.969,16.166,16.09,0.076,3009.958,2982.62,False,False
197,1990,1-to-1,0.969,11.554,11.5,0.054,3026.124,2998.71,False,False
198,2000,1-to-1,0.951,15.422,15.31,0.112,3037.678,3010.21,False,False
199,2010,1-to-1,0.979,18.006,17.95,0.056,3053.1,3025.52,False,False
200,2020,1-to-1,0.971,18.21,18.13,0.08,3071.106,3043.47,False,False
201,2030,1-to-1,0.956,15.31,15.21,0.1,3089.316,3061.6,False,False
202,2040,1-to-1,0.99,18.056,18.03,0.026,3104.626,3076.81,False,False
203,2050,1-to-1,0.981,18.202,18.15,0.052,3122.682,3094.84,False,False
204,2060,1-to-1,0.979,18.036,17.98,0.056,3140.884,3112.99,False,False
205,2070,1-to-1,0.973,18.194,18.12,0.074,3158.92,3130.97,False,False
206,2080,1-to-1,0.969,18.004,17.92,0.084,3177.114,3149.09,False,False
207,2090,1-to-1,0.969,15.682,15.61,0.072,3195.118,3167.01,False,False
208,2100,1-to-1,0.985,18.01,17.97,0.04,3210.8,3182.62,False,False
209,2110,1-to-1,0.994,18.216,18.2,0.016,3228.81,3200.59,False,False
210,2120,1-to-1,0.98,16.49,16.44,0.05,3247.026,3218.79,False,False
211,2130,1-to-1,0.979,18.186,18.13,0.056,3263.516,3235.23,False,False
212,2140,1-to-1,0.987,18.176,18.14,0.036,3281.702,3253.36,False,False
213,2150,1-to-1,0.983,18.206,18.16,0.046,3299.878,3271.5,False,False
214,2160,1-to-1,0.982,18.2,18.15,0.05,3318.084,3289.66,False,False
215,2170,1-to-1,0.993,17.578,17.56,0.018,3336.284,3307.81,False,False
216,2180,1-to-1,0.993,18.17,18.15,0.02,3353.862,3325.37,False,False
217,2190,1-to-1,0.994,18.136,18.12,0.016,3372.032,3343.52,False,False
218,2200,1-to-1,0.971,18.188,18.11,0.078,3390.168,3361.64,False,False
219,2210,1-to-1,0.99,18.166,18.14,0.026,3408.356,3379.75,False,False
220,2220,1-to-1,0.987,18.206,18.17,0.036,3426.522,3397.89,False,False
221,2230,1-to-1,0.978,18.18,18.12,0.06,3444.728,3416.06,False,False
222,2240,1-to-1,0.988,18.192,18.16,0.032,3462.908,3434.18,False,False
223,2250,1-to-1,0.968,14.328,14.26,0.068,3481.1,3452.34,False,False
224,2260,1-to-1,0.984,14.484,14.45,0.034,3495.428,3466.6,False,False
225,2270,1-to-1,0.975,16.27,16.21,0.06,3509.912,3481.05,False,False
226,2280,1-to-1,0.982,15.932,15.89,0.042,3526.182,3497.26,False,False
227,2290,1-to-1,0.986,14.79,14.76,0.03,3542.114,3513.15,False,False
228,2300,1-to-1,0.988,15.128,15.1,0.028,3556.904,3527.91,False,False
229,2310,1-to-1,0.997,13.814,13.82,0.006,3572.032,3543.01,False,False
230,2320,1-to-1,0.853,0.46,0.45,0.01,3585.846,3556.83,False,False
231,2330,1-to-1,0.962,0.348,0.35,0.002,3586.306,3557.28,False,False
233,"2340,2350",1-to-2,0.763,15.12,15.55,0.43,3587.07,3557.63,True,False
234,2360,1-to-1,0.985,14.652,14.62,0.032,3602.19,3573.18,False,False
235,2370,1-to-1,0.984,15.558,15.52,0.038,3616.842,3587.8,False,False
236,2380,1-to-1,0.982,14.118,14.08,0.038,3632.4,3603.32,False,False
237,2390,1-to-1,0.978,13.966,13.92,0.046,3646.518,3617.4,False,False
238,2400,1-to-1,0.987,14.92,14.89,0.03,3660.484,3631.32,False,False
239,2410,1-to-1,0.986,14.35,14.32,0.03,3675.404,3646.21,False,False
240,2420,1-to-1,0.988,13.644,13.62,0.024,3689.754,3660.53,False,False
241,2430,1-to-1,0.982,14.71,14.67,0.04,3703.398,3674.15,False,False
242,2440,1-to-1,0.982,14.71,14.67,0.04,3718.108,3688.82,False,False
243,2450,1-to-1,0.983,13.936,13.9,0.036,3732.818,3703.49,False,False
244,2460,1-to-1,0.987,13.846,13.82,0.026,3746.754,3717.39,False,False
245,2470,1-to-1,0.979,13.182,13.14,0.042,3760.6,3731.21,False,False
246,2480,1-to-1,0.988,13.886,13.86,0.026,3773.782,3744.35,False,False
247,2490,1-to-1,0.995,13.78,13.77,0.01,3787.668,3758.21,False,False
248,2500,1-to-1,0.985,14.804,14.77,0.034,3801.448,3771.98,False,False
249,2510,1-to-1,0.981,13.288,13.25,0.038,3816.252,3786.75,False,False
250,2520,1-to-1,0.974,14.296,14.24,0.056,3829.54,3800.0,False,False
251,2530,1-to-1,0.975,12.768,12.72,0.048,3843.836,3814.24,False,False
252,2540,1-to-1,0.991,12.758,12.74,0.018,3856.604,3826.96,False,False
253,2550,1-to-1,0.977,18.202,18.14,0.062,3869.362,3839.7,False,False
254,2560,1-to-1,0.965,18.094,18.0,0.094,3887.564,3857.84,False,False
255,2570,1-to-1,0.981,18.182,18.13,0.052,3905.658,3875.84,False,False
256,2580,1-to-1,0.987,17.974,17.94,0.034,3923.84,3893.97,False,False
257,2590,1-to-1,0.983,18.066,18.02,0.046,3941.814,3911.91,False,False
258,2600,1-to-1,0.954,18.134,18.01,0.124,3959.88,3929.93,False,False
259,2610,1-to-1,0.987,18.036,18.0,0.036,3978.014,3947.94,False,False
260,2620,1-to-1,0.987,17.804,17.77,0.034,3996.05,3965.94,False,False
261,2630,1-to-1,0.974,15.66,15.6,0.06,4013.854,3983.71,False,False
262,2640,1-to-1,0.978,18.21,18.15,0.06,4029.514,3999.31,False,False
263,2650,1-to-1,0.971,18.178,18.1,0.078,4047.724,4017.46,False,False
264,2660,1-to-1,0.974,18.222,18.15,0.072,4065.902,4035.56,False,False
265,2670,1-to-1,0.99,18.156,18.13,0.026,4084.124,4053.71,False,False
